Company,Location,Job-title,Job-level,Expected Salary lpa,Company size,No of vacancies
Samsung Electronics,Delhi,FullStack-Engineer,Senior,19,Large,3
Hewlett Packard Enterprise,Delhi,FrontEnd-Engineer,Mid-senior,13,Large,6
Affirmed Networks India Private Limited,Delhi,BackEnd-Engineer,Senior,14,Medium,2
Ushur,Delhi,FullStack-Engineer,Entry,11,Medium,7
Indecomm Holdings,Delhi,FrontEnd-Engineer,Mid-senior,9,Small,3
CareerXperts,Delhi,BackEnd-Engineer,Senior,13,Small,2
Zycus,Delhi,FullStack-Engineer,Entry,10,Small,6
Google,Delhi,FrontEnd-Engineer,Mid-senior,13,Large,6
Accenture,Delhi,BackEnd-Engineer,Entry,11,Large,9
ADCI HYD 13 SEZ,Delhi,FullStack-Engineer,Senior,16,Small,1
GO-JEK,Delhi,FrontEnd-Engineer,Mid-senior,13,Large,6
Microsoft,Delhi,BackEnd-Engineer,Entry,11,Large,9
Indecomm Digital Services,Delhi,FullStack-Engineer,Senior,19,Large,3
Ittiam,Delhi,FrontEnd-Engineer,Mid-senior,13,Large,6
SpaceClaim,Delhi,BackEnd-Engineer,Entry,10,Medium,7
Playment,Delhi,FullStack-Engineer,Senior,16,Medium,1
Qualcomm,Pune,FrontEnd-Engineer,Mid-senior,15,Large,6
Pinnacle Consultz,Pune,BackEnd-Engineer,Entry,9,Small,6
MathWorks,Pune,FullStack-Engineer,Senior,17,Small,3
Ignitarium Technology Solutions,Pune,FrontEnd-Engineer,Mid-senior,12,Medium,4
Careerera,Pune,BackEnd-Engineer,Entry,11,Medium,7
SAP,Pune,FullStack-Engineer,Senior,21,Large,3
WorkFusion,Pune,FrontEnd-Engineer,Mid-senior,12,Medium,4
Bidgely,Pune,BackEnd-Engineer,Entry,11,Medium,7
e-Zest Solutions Limited,Pune,FullStack-Engineer,Senior,18,Medium,2
Seagate Technology,Pune,FrontEnd-Engineer,Mid-senior,10,Small,3
WebShare,Pune,BackEnd-Engineer,Entry,9,Small,6
ZS Associates,Pune,FullStack-Engineer,Senior,17,Small,2
Amazon,Pune,FrontEnd-Engineer,Mid-senior,15,Large,6
Cognitive Skills Private Limited,Pune,BackEnd-Engineer,Entry,11,Medium,7
Onit,Pune,FullStack-Engineer,Senior,17,Small,1
TVS Next,Pune,FrontEnd-Engineer,Mid-senior,15,Large,6
AIMonk Labs Technology Limited,Pune,BackEnd-Engineer,Entry,11,Medium,7
Oracle,Pune,FullStack-Engineer,Senior,21,Large,3
Inkers,Pune,FrontEnd-Engineer,Mid-senior,10,Small,3
ICS Consultancy Services,Pune,BackEnd-Engineer,Entry,11,Medium,7
Startups Club,Ahmedabad,FullStack-Engineer,Senior,14,Small,2
Coriolis Technologies,Ahmedabad,FrontEnd-Engineer,Entry,4,Small,6
Softvision,Ahmedabad,BackEnd-Engineer,Mid-senior,11,Medium,4
Maxgen tech,Ahmedabad,FullStack-Engineer,Senior,14,Small,1
UiPath,Ahmedabad,FrontEnd-Engineer,Senior,8,Small,2
Ari,Ahmedabad,BackEnd-Engineer,Entry,8,Medium,7
Atlassian,Ahmedabad,FullStack-Engineer,Mid-senior,14,Large,6
Augusta Infotech,Ahmedabad,FrontEnd-Engineer,Senior,10,Medium,2
Capgemini,Ahmedabad,BackEnd-Engineer,Entry,9,Large,9
Sonant Technologies Private Limited,Ahmedabad,FullStack-Engineer,Mid-senior,14,Medium,4
Atlan,Ahmedabad,FrontEnd-Engineer,Entry,8,Large,9
SkillBit,Ahmedabad,BackEnd-Engineer,Senior,12,Medium,2
IBM,Ahmedabad,FullStack-Engineer,Mid-senior,14,Large,6
Quantiphi,Ahmedabad,FrontEnd-Engineer,Senior,10,Medium,1
SISA Information Security Pvt,Ahmedabad,BackEnd-Engineer,Entry,8,Medium,7
Samsung R&D Institute India,Ahmedabad,FullStack-Engineer,Mid-senior,14,Large,6
CloudMoyo,Ahmedabad,FrontEnd-Engineer,Senior,10,Medium,2
